match_id,innings,over,ball,runs,wicket,extras,batting_team,bowling_team,striker,non_striker,bowler,current_score,wickets_lost,required_rr,current_rr,target,recent_runs,recent_wickets,dot_ball_streak,partnership_runs,partnership_balls,momentum_state,pressure_level,collapse_risk,boundary,six,four,phase_of_match,win_probability,commentary_text,commentary_type,importance,tone
1150533,1,0,1,4,0,0,India,New Zealand,T Bhatia,S Mandhana,JM Watkin,4,0,0.0,24.0,0,4,0,0,4,1,BATTING,EXTREME,LOW,1,0,1,POWERPLAY,74.62,"T Bhatia finds the boundary, injecting fresh momentum into the innings.",boundary,high,dramatic
1150533,1,0,2,0,0,0,India,New Zealand,T Bhatia,S Mandhana,JM Watkin,4,0,0.0,12.0,0,4,0,1,4,2,BATTING,LOW,LOW,0,0,0,POWERPLAY,85.49,"Momentum is swinging towards the batters, and every delivery is nudging the contest further.",momentum,medium,neutral
1150533,1,0,3,4,0,0,India,New Zealand,T Bhatia,S Mandhana,JM Watkin,8,0,0.0,16.0,0,8,0,0,8,3,BATTING,MEDIUM,LOW,1,0,1,POWERPLAY,92.9,"T Bhatia finds the boundary, injecting fresh momentum into the innings.",boundary,medium,energetic
1150533,1,0,4,0,0,0,India,New Zealand,T Bhatia,S Mandhana,JM Watkin,8,0,0.0,12.0,0,8,0,1,8,4,BATTING,LOW,LOW,0,0,0,POWERPLAY,88.37,"Momentum is swinging towards the batters, and every delivery is nudging the contest further.",momentum,medium,neutral
1150533,1,0,5,1,0,0,India,New Zealand,T Bhatia,S Mandhana,JM Watkin,9,0,0.0,10.8,0,9,0,0,9,5,BATTING,LOW,LOW,0,0,0,POWERPLAY,92.39,"Momentum is swinging towards the batters, and every delivery is nudging the contest further.",momentum,medium,neutral
1150533,1,0,6,0,0,0,India,New Zealand,S Mandhana,T Bhatia,JM Watkin,9,0,0.0,9.0,0,9,0,1,9,6,BATTING,LOW,LOW,0,0,0,POWERPLAY,92.5935,"Momentum is swinging towards the batters, and every delivery is nudging the contest further.",momentum,medium,neutral
1150533,1,1,1,0,1,0,India,New Zealand,T Bhatia,S Mandhana,LMM Tahuhu,9,1,0.0,7.7143,0,5,1,2,9,7,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,52.0611,"LMM Tahuhu strikes and removes T Bhatia, a timely wicket for New Zealand.",wicket,high,dramatic
1150533,1,1,2,2,0,0,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,11,1,0.0,8.25,0,7,1,0,2,1,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,76.4924,JI Rodrigues takes 2 from the ball with calm control.,ball,low,neutral
1150533,1,1,3,0,0,0,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,11,1,0.0,7.3333,0,3,1,1,2,2,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,66.5816,JI Rodrigues takes 0 from the ball with calm control.,ball,low,neutral
1150533,1,1,4,2,0,2,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,13,1,0.0,7.8,0,5,1,0,4,3,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,72.3019,JI Rodrigues takes 2 from the ball with calm control.,ball,low,neutral
1150533,1,1,5,0,0,0,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,13,1,0.0,7.0909,0,4,1,1,4,4,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,67.2766,JI Rodrigues takes 0 from the ball with calm control.,ball,low,neutral
1150533,1,1,6,1,0,0,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,14,1,0.0,7.0,0,5,1,0,5,5,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,69.4935,JI Rodrigues takes 1 from the ball with calm control.,ball,low,neutral
1150533,1,2,1,1,0,0,India,New Zealand,JI Rodrigues,S Mandhana,LM Kasperek,15,1,0.0,6.9231,0,6,0,0,6,6,BATTING,LOW,LOW,0,0,0,POWERPLAY,82.0046,"Momentum is swinging towards the batters, and every delivery is nudging the contest further.",momentum,medium,neutral
1150533,1,2,2,2,0,0,India,New Zealand,S Mandhana,JI Rodrigues,LM Kasperek,17,1,0.0,7.2857,0,6,0,0,8,7,BATTING,LOW,LOW,0,0,0,POWERPLAY,83.2774,"Momentum is swinging towards the batters, and every delivery is nudging the contest further.",momentum,medium,neutral
1150533,1,2,3,0,0,0,India,New Zealand,S Mandhana,JI Rodrigues,LM Kasperek,17,1,0.0,6.8,0,6,0,1,8,8,BATTING,LOW,LOW,0,0,0,POWERPLAY,80.5824,"Momentum is swinging towards the batters, and every delivery is nudging the contest further.",momentum,medium,neutral
1150533,1,2,4,0,0,0,India,New Zealand,S Mandhana,JI Rodrigues,LM Kasperek,17,1,0.0,6.375,0,4,0,2,8,9,BATTING,LOW,LOW,0,0,0,POWERPLAY,75.0084,S Mandhana takes 0 from the ball with calm control.,ball,low,neutral
1150533,1,2,5,0,0,0,India,New Zealand,S Mandhana,JI Rodrigues,LM Kasperek,17,1,0.0,6.0,0,4,0,3,8,10,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,72.702,S Mandhana takes 0 from the ball with calm control.,ball,low,neutral
1150533,1,2,6,0,0,0,India,New Zealand,S Mandhana,JI Rodrigues,LM Kasperek,17,1,0.0,5.6667,0,3,0,4,8,11,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,68.9959,S Mandhana takes 0 from the ball with calm control.,ball,low,neutral
1150533,1,3,1,0,0,0,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,17,1,0.0,5.3684,0,2,0,5,8,12,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,65.4128,JI Rodrigues takes 0 from the ball with calm control.,ball,low,neutral
1150533,1,3,2,4,0,0,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,21,1,0.0,6.3,0,4,0,0,12,13,BATTING,LOW,LOW,1,0,1,POWERPLAY,87.9651,"JI Rodrigues finds the boundary, injecting fresh momentum into the innings.",boundary,medium,energetic
1150533,1,3,3,0,0,0,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,21,1,0.0,6.0,0,4,0,1,12,14,BATTING,LOW,LOW,0,0,0,POWERPLAY,74.682,JI Rodrigues takes 0 from the ball with calm control.,ball,low,neutral
1150533,1,3,4,1,0,1,India,New Zealand,JI Rodrigues,S Mandhana,LMM Tahuhu,22,1,0.0,6.0,0,5,0,0,13,15,BATTING,LOW,LOW,0,0,0,POWERPLAY,77.218,"Momentum is swinging towards the batters, and every delivery is nudging the contest further.",momentum,medium,neutral
1150533,1,3,5,0,1,0,India,New Zealand,S Mandhana,JI Rodrigues,LMM Tahuhu,22,2,0.0,5.7391,0,5,1,1,13,16,NEUTRAL,LOW,LOW,0,0,0,POWERPLAY,44.5421,"LMM Tahuhu strikes and removes S Mandhana, a timely wicket for New Zealand.",wicket,high,dramatic
